,TEMP_MIN,TEMP_MED,TEMP_MAX,CHUVA,UMID_MIN,UMID_MED,VEL_VENTO_MED
A601,0.0,0.14,0.0,2.85,0.0,0.0,0.0
A602,0.43,3.19,0.43,0.43,7.64,7.73,20.73
A603,0.05,0.24,0.05,0.0,1.16,13.44,0.0
A604,4.88,12.32,4.88,8.6,11.79,12.52,16.72
A606,2.85,3.24,2.95,5.51,9.71,23.3,7.73
A607,2.85,3.14,2.9,3.19,2.8,2.9,3.0
A608,5.12,5.9,5.17,5.75,2.56,4.3,5.36
A609,3.33,4.16,3.62,4.01,2.13,3.0,3.91
A610,25.08,32.91,25.52,31.56,20.01,31.22,47.8
A611,5.12,6.86,5.12,9.38,6.19,6.43,6.57
A618,1.64,6.14,1.64,1.84,5.41,9.28,6.04
A619,10.49,14.5,10.54,16.53,11.99,14.5,14.5
A620,14.06,15.03,14.06,14.98,5.99,21.51,14.35
A621,4.01,4.01,4.01,4.2,0.14,3.0,4.01
A624,3.48,5.36,3.48,12.13,72.02,4.88,82.79
A625,3.38,3.77,3.43,3.67,2.46,3.24,4.3
A626,1.98,8.6,2.08,4.25,4.3,5.17,20.44
A627,4.43,11.51,4.63,5.69,9.26,12.83,11.77
A628,14.61,28.03,14.67,26.39,15.32,17.88,26.72
A629,0.63,0.7,0.7,0.7,12.24,12.59,0.77
A630,9.39,18.0,9.39,9.74,10.8,24.06,17.85
A635,4.05,4.38,3.67,4.54,8.26,8.81,24.36
A636,2.06,2.43,1.95,2.43,0.16,1.84,2.11
A652,1.16,1.55,1.16,1.4,0.58,1.06,1.26
A659,1.98,2.32,2.03,2.27,0.05,1.5,2.03
A667,10.58,12.03,10.63,11.84,1.4,6.19,11.45
