local,latitude,longitude,altitude,cod_estacao
ANGRA DOS REIS,-22.97555554,-44.30333333,6,A628
ARRAIAL DO CABO,-22.97527777,-42.02138888,5,A606
CAMBUCI,-21.58749999,-41.95833333,46,A604
CAMPOS DOS GOYTACAZES,-21.71472222,-41.34388888,17,A607
CAMPOS DOS GOYTACAZES - SAO TOME,-22.04166666,-41.05166666,7,A620
CARMO,-21.938745,-42.600936,293,A629
DUQUE DE CAXIAS - XEREM,-22.58972221,-43.28222221,22,A603
ITATIAIA - AGULHAS NEGRAS,-22.37388888,-44.70305555,2450,A635
MACAE,-22.3761111,-41.81194444,28,A608
NITEROI,-22.86749999,-43.10194444,6,A627
NOVA FRIBURGO - SALINAS,-22.33472221,-42.67694443,1070,A624
PARATY,-23.2236111,-44.72694443,3,A619
PICO DO COUTO,-22.46472222,-43.29138888,1777,A610
RESENDE,-22.45138888,-44.44499999,438.83,A609
RIO CLARO,-22.653579,-44.040916,516,A626
RIO DE JANEIRO - FORTE DE COPACABANA,-22.98833333,-43.19055555,25.59,A652
RIO DE JANEIRO - JACAREPAGUA,-22.93999999,-43.40277777,20,A636
RIO DE JANEIRO - VILA MILITAR,-22.86138888,-43.41138888,30.43,A621
RIO DE JANEIRO-MARAMBAIA,-23.05027777,-43.59555555,12,A602
SANTA MARIA MADALENA,-21.95055555,-42.01027777,517,A630
SAQUAREMA - SAMPAIO CORREIA,-22.8711111,-42.60888888,26,A667
SEROPEDICA-ECOLOGIA AGRICOLA,-22.75777777,-43.68472221,35,A601
SILVA JARDIM,-22.64583333,-42.41555555,19,A659
TERESOPOLIS-PARQUE NACIONAL,-22.4486111,-42.98694444,981,A618
TRES RIOS,-22.09833333,-43.20833333,295,A625
VALENCA,-22.35805555,-43.69555555,370,A611
